"Breast"
"SEER Incidence Rates by Age at Diagnosis, 2018-2022"
"By Sex, Delay-adjusted SEER Incidence Rate, All Races / Ethnicities"

"","Female","Female","Female"
"Age at Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I."
"<1","^","^","^"
"1-4","^","^","^"
"5-9","^","^","^"
"10-14","^","^","^"
"15-19","0.2","0.2","0.3"
"20-24","1.8","1.7","2.0"
"25-29","11.2","10.8","11.6"
"30-34","31.9","31.2","32.6"
"35-39","66.8","65.8","67.8"
"40-44","137.6","136.1","139.1"
"45-49","206.0","204.2","207.9"
"50-54","242.0","240.0","244.0"
"55-59","273.3","271.2","275.4"
"60-64","342.0","339.6","344.4"
"65-69","424.3","421.4","427.2"
"70-74","479.2","475.8","482.6"
"75-79","477.8","473.7","481.8"
"80-84","448.1","443.2","452.9"
"85-89","394.0","388.3","399.7"
"90+","299.3","293.6","305.1"

"^ Estimates based on less than 16 cases are suppressed and not shown. Note: Delay-adjusted estimates are not available for male breast cancer."

"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Sun Feb 01 2026.
